model_name,ranking_method,score_column,top_k,ranking_group_mode,return_threshold,probability_threshold,groups_covered,observations,coverage_ratio,average_actual_return,median_actual_return,profit_rate,precision_at_top_k,recall_of_profitable_cases,lift_vs_base_rate
lightgbm,predicted_return,predicted_return,5,date,,,36,144,0.8,-0.003275472408727244,-0.0018868075660983,0.2847222222222222,0.2847222222222222,1.0,1.0
xgboost,combined_rank_based,rank_based_joint_score,1,date,,,36,36,1.0,-0.0060252001242530944,-0.0068383655204983,0.25,0.25,0.21951219512195122,0.8780487804878049
xgboost,combined_rank_based,rank_based_joint_score,3,date,,,36,108,1.0,-0.005257231434063581,-0.00390866329682665,0.25,0.25,0.6585365853658537,0.8780487804878049
xgboost,combined_rank_based,rank_based_joint_score,5,date,,,36,144,0.8,-0.003275472408727244,-0.0018868075660983,0.2847222222222222,0.2847222222222222,1.0,1.0
xgboost,combined_weighted_linear,combined_score,1,date,,,36,36,1.0,-0.005868279636601805,-0.0072359139667975,0.3333333333333333,0.3333333333333333,0.2926829268292683,1.170731707317073
xgboost,combined_weighted_linear,combined_score,3,date,,,36,108,1.0,-0.005348124088615059,-0.00390866329682665,0.23148148148148148,0.23148148148148148,0.6097560975609756,0.8130081300813009
xgboost,combined_weighted_linear,combined_score,5,date,,,36,144,0.8,-0.003275472408727244,-0.0018868075660983,0.2847222222222222,0.2847222222222222,1.0,1.0
xgboost,combined_weighted_linear_gated,combined_score,1,date,0.0,0.5,27,27,1.0,-0.0099422964696181,-0.0091390091390091,0.25925925925925924,0.25925925925925924,0.6363636363636364,1.0134680134680134
xgboost,combined_weighted_linear_gated,combined_score,1,date,0.0,0.55,24,24,1.0,-0.01049059857786592,-0.01101394901394895,0.20833333333333334,0.20833333333333334,0.5555555555555556,0.8101851851851853
xgboost,combined_weighted_linear_gated,combined_score,1,date,0.0,0.6,22,22,1.0,-0.010263651813398016,-0.01101394901394895,0.22727272727272727,0.22727272727272727,0.625,0.8806818181818182
xgboost,combined_weighted_linear_gated,combined_score,1,date,0.0,0.65,21,21,1.0,-0.010126965805892472,-0.0091390091390091,0.23809523809523808,0.23809523809523808,0.625,0.863095238095238
xgboost,combined_weighted_linear_gated,combined_score,1,date,0.005,0.5,24,24,1.0,-0.009552132358124512,-0.00887681821226125,0.2916666666666667,0.2916666666666667,0.7777777777777778,1.1342592592592595
xgboost,combined_weighted_linear_gated,combined_score,1,date,0.005,0.55,21,21,1.0,-0.010452368337164933,-0.0091390091390091,0.23809523809523808,0.23809523809523808,0.7142857142857143,0.9523809523809523
xgboost,combined_weighted_linear_gated,combined_score,1,date,0.005,0.6,19,19,1.0,-0.010185563637180936,-0.0091390091390091,0.2631578947368421,0.2631578947368421,0.7142857142857143,0.9774436090225563
xgboost,combined_weighted_linear_gated,combined_score,1,date,0.005,0.65,18,18,1.0,-0.010021758396412414,-0.00887681821226125,0.2777777777777778,0.2777777777777778,0.7142857142857143,0.9523809523809523
xgboost,combined_weighted_linear_gated,combined_score,1,date,0.01,0.5,19,19,1.0,-0.009797709588530679,-0.0091390091390091,0.3157894736842105,0.3157894736842105,0.8571428571428571,1.218045112781955
xgboost,combined_weighted_linear_gated,combined_score,1,date,0.01,0.55,17,17,1.0,-0.009924966606031718,-0.0091390091390091,0.29411764705882354,0.29411764705882354,0.8333333333333334,1.1274509803921569
xgboost,combined_weighted_linear_gated,combined_score,1,date,0.01,0.6,16,16,1.0,-0.008921900395532086,-0.00887681821226125,0.3125,0.3125,0.8333333333333334,1.1458333333333335
xgboost,combined_weighted_linear_gated,combined_score,1,date,0.01,0.65,15,15,1.0,-0.008641089890499935,-0.0086146272855134,0.3333333333333333,0.3333333333333333,0.8333333333333334,1.1111111111111112
xgboost,combined_weighted_linear_gated,combined_score,1,date,0.02,0.5,12,12,1.0,-0.01185792819071147,-0.01297013418506885,0.25,0.25,1.0,1.25
xgboost,combined_weighted_linear_gated,combined_score,1,date,0.02,0.55,11,11,1.0,-0.010496015644159492,-0.0128888888888888,0.2727272727272727,0.2727272727272727,1.0,1.0909090909090908
xgboost,combined_weighted_linear_gated,combined_score,1,date,0.02,0.6,10,10,1.0,-0.008948214611172862,-0.01101394901394895,0.3,0.3,1.0,1.1
xgboost,combined_weighted_linear_gated,combined_score,1,date,0.02,0.65,10,10,1.0,-0.008948214611172862,-0.01101394901394895,0.3,0.3,1.0,1.1
xgboost,combined_weighted_linear_gated,combined_score,3,date,0.0,0.5,27,43,0.5308641975308642,-0.009688579955915046,-0.0086146272855134,0.2558139534883721,0.2558139534883721,1.0,1.0
xgboost,combined_weighted_linear_gated,combined_score,3,date,0.0,0.55,24,35,0.4861111111111111,-0.009982640383682476,-0.0091390091390091,0.2571428571428571,0.2571428571428571,1.0,1.0
xgboost,combined_weighted_linear_gated,combined_score,3,date,0.0,0.6,22,31,0.4696969696969697,-0.010973175753683007,-0.0128888888888888,0.25806451612903225,0.25806451612903225,1.0,1.0
xgboost,combined_weighted_linear_gated,combined_score,3,date,0.0,0.65,21,29,0.4603174603174603,-0.010236820647164304,-0.0091390091390091,0.27586206896551724,0.27586206896551724,1.0,1.0
xgboost,combined_weighted_linear_gated,combined_score,3,date,0.005,0.5,24,35,0.4861111111111111,-0.010320358066682729,-0.0086146272855134,0.2571428571428571,0.2571428571428571,1.0,1.0
xgboost,combined_weighted_linear_gated,combined_score,3,date,0.005,0.55,21,28,0.4444444444444444,-0.011230143024435039,-0.01101394901394895,0.25,0.25,1.0,1.0
xgboost,combined_weighted_linear_gated,combined_score,3,date,0.005,0.6,19,26,0.45614035087719296,-0.01109499918115982,-0.01101394901394895,0.2692307692307692,0.2692307692307692,1.0,1.0
