date,ticker,horizon,model_name,actual_return,predicted_return,actual_profit_label,predicted_profit_label,predicted_profit_probability,ranking_group,normalized_predicted_return,return_strength,profit_confidence,combined_score,gated_valid_signal,return_only_signal_label,probability_only_signal_label,combined_signal_label,return_rank_score,profit_probability_rank_score,rank_based_joint_score
2024-01-29,HPG,20d,cart,0.0018894662257911,0.09350561033662,0,1,1.0,2024-01-29,0.9587198027917139,0.9587198027917139,1.0,0.9793599013958569,True,strong_positive,strong_positive,strong_positive,0.8181818181818181,0.9545454545454546,0.8863636363636364
2024-01-29,MWG,20d,cart,0.0420449116101289,-0.0344102968216444,1,0,0.0,2024-01-29,0.538138705859768,0.538138705859768,0.0,0.269069352929884,False,reject,reject,reject,0.7272727272727273,0.045454545454545414,0.38636363636363635
2024-01-29,ACB,20d,lightgbm,0.0858676207513418,-0.0948159647464696,1,0,0.000906730253567,2024-01-29,0.17164131950728156,0.17164131950728156,0.000906730253567,0.08627402488042428,False,reject,reject,reject,0.2727272727272727,0.18181818181818177,0.22727272727272724
2024-01-29,DGC,20d,lightgbm,-0.0477001703577513,-0.124995490815696,0,0,0.0034795772853423,2024-01-29,0.07847221857650906,0.07847221857650906,0.0034795772853423,0.04097589793092568,False,reject,reject,reject,0.09090909090909094,0.2727272727272727,0.18181818181818182
2024-01-29,HPG,20d,lightgbm,0.0018894662257911,0.1347385320077535,0,1,0.9955496349670218,2024-01-29,0.8803133519357593,0.8803133519357593,0.9955496349670218,0.9379314934513905,True,strong_positive,strong_positive,strong_positive,0.9090909090909091,0.8181818181818181,0.8636363636363635
2024-01-29,MWG,20d,lightgbm,0.0420449116101289,-0.0569291180498329,1,0,0.007734761756632,2024-01-29,0.2886041715988198,0.2886041715988198,0.007734761756632,0.1481694666777259,False,reject,reject,reject,0.5454545454545454,0.36363636363636365,0.45454545454545453
2024-01-29,ACB,20d,xgboost,0.0858676207513418,-0.0524784736335277,1,0,0.0081019569188356,2024-01-29,0.2572031380577722,0.2572031380577722,0.0081019569188356,0.13265254748830388,False,reject,reject,reject,0.6363636363636364,0.4545454545454546,0.5454545454545454
2024-01-29,DGC,20d,xgboost,-0.0477001703577513,-0.1184246987104415,0,0,0.0595238991081714,2024-01-29,0.0436918450463967,0.0436918450463967,0.0595238991081714,0.05160787207728405,False,reject,reject,reject,0.18181818181818177,0.5454545454545454,0.3636363636363636
2024-01-29,HPG,20d,xgboost,0.0018894662257911,0.1461434364318847,0,1,0.9822536110877992,2024-01-29,0.9002728632618212,0.9002728632618212,0.9822536110877992,0.9412632371748102,True,strong_positive,strong_positive,strong_positive,1.0,0.7272727272727273,0.8636363636363636
2024-01-29,MWG,20d,xgboost,0.0420449116101289,-0.0616009198129177,1,0,0.1006102636456489,2024-01-29,0.22766778138016755,0.22766778138016755,0.1006102636456489,0.16413902251290824,False,reject,reject,reject,0.4545454545454546,0.6363636363636364,0.5454545454545454
2024-01-30,ACB,20d,cart,0.0611888111888112,-0.0963611859838274,1,1,1.0,2024-01-30,0.33444728468645585,0.33444728468645585,1.0,0.667223642343228,False,reject,strong_positive,weak_or_uncertain,0.18181818181818177,0.9545454545454546,0.5681818181818181
2024-01-30,DGC,20d,cart,-0.0362327123099782,-0.1815649224806202,0,0,0.0,2024-01-30,0.054301665938785,0.054301665938785,0.0,0.0271508329693925,False,reject,reject,reject,0.0,0.045454545454545414,0.022727272727272707
2024-01-30,HPG,20d,cart,0.0202020202020203,0.0869788986103963,1,1,1.0,2024-01-30,0.9372603014821742,0.9372603014821742,1.0,0.968630150741087,True,strong_positive,strong_positive,strong_positive,0.8181818181818181,0.9545454545454546,0.8863636363636364
2024-01-30,MWG,20d,cart,0.0693641618497109,-0.0344102968216444,1,0,0.0,2024-01-30,0.538138705859768,0.538138705859768,0.0,0.269069352929884,False,reject,reject,reject,0.7272727272727273,0.045454545454545414,0.38636363636363635
