date,ticker,model_name,prediction_date,target_date,horizon,horizon_days,actual_return,predicted_return,absolute_error,pct_error
2023-02-27,DGC,lightgbm,2023-02-22,2023-02-27,3d,3,-0.06794462193823225,0.005334540393610967,0.07327916233184321,107.85130631598854
2023-02-28,DGC,lightgbm,2023-02-23,2023-02-28,3d,3,-0.03647416413373861,0.045026978662160114,0.08150114279589872,223.4489664987556
2023-03-01,DGC,lightgbm,2023-02-24,2023-03-01,3d,3,-0.0058009817045960865,0.05846852766585469,0.06426950937045078,1107.9074653783236
2023-01-03,DGC,xgboost,2022-12-28,2023-01-03,3d,3,0.011863758132415025,0.037264999002218246,0.02540124086980322,214.10787868643496
2023-01-04,DGC,xgboost,2022-12-29,2023-01-04,3d,3,0.03977383505556631,0.043617162853479385,0.0038433277979130764,9.662955037007945
2023-01-05,DGC,xgboost,2022-12-30,2023-01-05,3d,3,0.03411922560858738,0.023085305467247963,0.011033920141339415,32.339304144588546
2023-01-06,DGC,xgboost,2023-01-03,2023-01-06,3d,3,-0.0183434190620273,0.001718608196824789,0.02006202725885209,109.36907231423653
2023-01-09,DGC,xgboost,2023-01-04,2023-01-09,3d,3,-0.0433152072004499,0.03556082770228386,0.07887603490273376,182.09778966938543
2023-01-10,DGC,xgboost,2023-01-05,2023-01-10,3d,3,-0.07228915662650615,0.04195285588502884,0.11424201251153498,158.0347839742898
2023-01-11,DGC,xgboost,2023-01-06,2023-01-11,3d,3,-0.037565016374494276,0.03713296726346016,0.07469798363795443,198.84986311006253
2023-01-12,DGC,xgboost,2023-01-09,2023-01-12,3d,3,-0.02783222265778129,0.0403604693710804,0.06819269202886169,245.01346107834644
2023-01-13,DGC,xgboost,2023-01-10,2023-01-13,3d,3,0.006993006993007089,0.03134515509009361,0.024352148097086523,348.23571778833247
2023-01-16,DGC,xgboost,2023-01-11,2023-01-16,3d,3,0.0,0.04857577383518219,0.04857577383518219,
2023-01-17,DGC,xgboost,2023-01-12,2023-01-17,3d,3,0.05020161290322589,0.020803406834602356,0.029398206068623534,58.56028196802108
2023-01-18,DGC,xgboost,2023-01-13,2023-01-18,3d,3,0.040476190476190554,0.03146300092339516,0.009013189552795398,22.267880071612115
2023-01-19,DGC,xgboost,2023-01-16,2023-01-19,3d,3,0.062049639711769355,0.010381563566625118,0.05166807614514424,83.26893820036801
2023-01-27,DGC,xgboost,2023-01-17,2023-01-27,3d,3,0.003263582261470388,0.0013837985461577773,0.0018797837153126107,57.598784547434235
2023-01-30,DGC,xgboost,2023-01-18,2023-01-30,3d,3,-0.01353928299008389,0.005335806403309107,0.018875089393392996,139.4098151816239
2023-01-31,DGC,xgboost,2023-01-19,2023-01-31,3d,3,0.0065963060686013986,0.041917819529771805,0.035321513461170406,535.4741440713584
2023-02-01,DGC,xgboost,2023-01-27,2023-02-01,3d,3,0.017030233448143806,0.037912558764219284,0.02088232531607548,122.61913719304609
2023-02-02,DGC,xgboost,2023-01-30,2023-02-02,3d,3,0.01198530833172251,0.021517964079976082,0.009532655748253571,79.53617449308918
2023-02-03,DGC,xgboost,2023-01-31,2023-02-03,3d,3,-0.024714472945141286,0.015580221079289913,0.0402946940244312,163.04087938218763
2023-02-06,DGC,xgboost,2023-02-01,2023-02-06,3d,3,-0.033301975540921847,0.03321874514222145,0.0665207206831433,199.7500736897782
2023-02-07,DGC,xgboost,2023-02-02,2023-02-07,3d,3,-0.05921680993314238,0.04595746472477913,0.10517427465792151,177.60881543039307
2023-02-08,DGC,xgboost,2023-02-03,2023-02-08,3d,3,-0.06469571894797477,0.03279723599553108,0.09749295494350585,150.69460008923477
2023-02-09,DGC,xgboost,2023-02-06,2023-02-09,3d,3,-0.04826780848579226,0.019545139744877815,0.06781294823067008,140.49311613273466
2023-02-10,DGC,xgboost,2023-02-07,2023-02-10,3d,3,-0.01076142131979696,0.03036660887300968,0.04112803019280664,382.1802805652313
2023-02-13,DGC,xgboost,2023-02-08,2023-02-13,3d,3,-0.05090311986863705,0.036811463534832,0.08771458340346905,172.31671384746036
2023-02-14,DGC,xgboost,2023-02-09,2023-02-14,3d,3,-0.03987730061349681,0.01879259943962097,0.058669900053117785,147.12605705628042
2023-02-15,DGC,xgboost,2023-02-10,2023-02-15,3d,3,-0.02545155993431858,0.038721758872270584,0.06417331880658916,252.13903969814683
2023-02-16,DGC,xgboost,2023-02-13,2023-02-16,3d,3,0.02097750865051906,0.05830567702651024,0.03732816837599118,177.9437634748278
2023-02-17,DGC,xgboost,2023-02-14,2023-02-17,3d,3,0.0,0.03423778712749481,0.03423778712749481,
2023-02-20,DGC,xgboost,2023-02-15,2023-02-20,3d,3,0.02042965459140711,0.029648836702108383,0.009219182110701274,45.126470785164145
2023-02-21,DGC,xgboost,2023-02-16,2023-02-21,3d,3,0.02435924592247396,0.01616053469479084,0.00819871122768312,33.657491918167096
2023-02-22,DGC,xgboost,2023-02-17,2023-02-22,3d,3,0.0,0.009995865635573864,0.009995865635573864,
2023-02-23,DGC,xgboost,2023-02-20,2023-02-23,3d,3,-0.0493292053663571,-0.018369344994425774,0.030959860371931325,62.76172531464736
2023-02-24,DGC,xgboost,2023-02-21,2023-02-24,3d,3,-0.07320099255583123,0.007382259238511324,0.08058325179434256,110.08491685803412
2023-02-27,DGC,xgboost,2023-02-22,2023-02-27,3d,3,-0.06794462193823225,0.010217537172138691,0.07816215911037094,115.03803668438593
2023-02-28,DGC,xgboost,2023-02-23,2023-02-28,3d,3,-0.03647416413373861,0.03704548254609108,0.07351964667982969,201.5663646471997
2023-03-01,DGC,xgboost,2023-02-24,2023-03-01,3d,3,-0.0058009817045960865,0.05817149952054024,0.06397248122513632,1102.7871571194798
2023-01-03,HPG,cart,2022-12-28,2023-01-03,3d,3,0.057287889775199385,-0.07663043478260867,0.13391832455780805,233.7637589433132
2023-01-04,HPG,cart,2022-12-29,2023-01-04,3d,3,0.07771260997067442,-0.14169381107491863,0.21940642104559305,282.33052670395205
2023-01-05,HPG,cart,2022-12-30,2023-01-05,3d,3,0.0997067448680351,-0.0494969818913481,0.1492037267593832,149.64256124985212
2023-01-06,HPG,cart,2023-01-03,2023-01-06,3d,3,0.008230452674897082,-0.011899876897825346,0.020130329572722427,244.58350430857863
2023-01-09,HPG,cart,2023-01-04,2023-01-09,3d,3,0.010204081632653184,-0.03573225968797189,0.045936341320625074,450.17614494212035
2023-01-10,HPG,cart,2023-01-05,2023-01-10,3d,3,0.0,0.059303590859629995,0.059303590859629995,
2023-01-11,HPG,cart,2023-01-06,2023-01-11,3d,3,0.04081632653061229,0.053150684931506875,0.012334358400894585,30.2191780821917
2023-01-12,HPG,cart,2023-01-09,2023-01-12,3d,3,0.02289562289562297,0.057495969908651245,0.034600347013028276,151.12210386572596
2023-01-13,HPG,cart,2023-01-10,2023-01-13,3d,3,0.007333333333333192,0.053150684931506875,0.04581735159817368,624.782067247835
2023-01-16,HPG,cart,2023-01-11,2023-01-16,3d,3,0.002614379084967311,0.059303590859629995,0.056689211774662684,2168.3623503808553
2023-01-17,HPG,cart,2023-01-12,2023-01-17,3d,3,0.07965766951942066,0.053150684931506875,0.026506984587913784,33.276123627306646
2023-01-18,HPG,cart,2023-01-13,2023-01-18,3d,3,0.08802117802779619,0.03730846102598262,0.05071271700181357,57.61422209754908
2023-01-19,HPG,cart,2023-01-16,2023-01-19,3d,3,0.04432855280312897,0.035563592525617915,0.008764960277511058,19.772719214267635
2023-01-27,HPG,cart,2023-01-17,2023-01-27,3d,3,-0.006707317073170738,0.04249839021249202,0.04920570728566276,733.6123631680623
2023-01-30,HPG,cart,2023-01-18,2023-01-30,3d,3,0.0024330900243307862,0.042389210019267765,0.03995611999493698,1642.1965317919867
2023-01-31,HPG,cart,2023-01-19,2023-01-31,3d,3,0.04494382022471899,0.042389210019267765,0.0025546102054512243,5.684007707128988
